Publisher	Dataset Name	Link	Facet 1	Facet 2
HM Passport Office	Places of worship	http://data.gov.uk/dataset/places-of-worship	Government Accountability and Democracy	Location
HM Passport Office	Places approved for civil marriage and partnership	http://data.gov.uk/dataset/approved-premises-civil-marriages-and-partnerships-and-civil-partnerships-in-england-and-wales	Government Accountability and Democracy	Location
The Disclosure and Barring Service	DBS list of current Registered and Umbrella Bodies	http://data.gov.uk/dataset/dbs-list-of-current-registered-and-umbrella-bodies	Government Accountability and Democracy	Location
Cabinet Office	Central Government Property and Land including Welsh Ministers Estate	http://data.gov.uk/dataset/epims	Government Accountability and Democracy	Location
Department for International Development	Geo-coded development Projects	http://www.data.gov.uk/dataset/info-dfid-aid-projects	Global Development	Location
Home Office	Police station locations 	http://data.gov.uk/dataset/police-station-locations	Crime and Justice	Location
Ministry of Justice	Court locations	http://data.gov.uk/dataset/court-locations	Crime and Justice	Location
Ministry of Justice	Prison locations	http://data.gov.uk/dataset/prison-locations	Crime and Justice	Location
Home Office	Police (boundaries) (Home Office) 	http://data.gov.uk/dataset/police-force-boundaries-england-and-wales	Crime and Justice	Location
Ministry of Justice	Types of court	http://data.gov.uk/dataset/types-of-court	Crime and Justice	Location
Ministry of Justice	Information about judiciary	http://data.gov.uk/dataset/information-about-judiciary	Crime and Justice	Location
Ordnance Survey	Points of Interest	http://data.gov.uk/dataset/points-of-interest	Companies and Business Development	Location
Department for Business, Innovation and Skills	Business Population Estimates for the UK and Regions (BIS)	http://data.gov.uk/dataset/business_population_estimates_for_the_uk_and_regions	Companies and Business Development	Location
Her Majesty's Revenue and Customs	Value Added Tax	http://data.gov.uk/dataset/value-added-tax-vat--live-mainframe-data	Companies and Business Development	Location
Department for Transport	National Public Access Transport Nodes (NaPTAN)	http://www.data.gov.uk/dataset/naptan	Transport and Infrastructure	Location
Department for Transport	Network Rail - railway network Inspire data	http://data.gov.uk/dataset/railway-network-inspire	Transport and Infrastructure	Location
Highways Agency	Highways Agency - Roads network Inspire data	http://data.gov.uk/dataset/ha-road-network-inspire	Transport and Infrastructure	Location
Department for Transport	Cycle Routes	http://www.data.gov.uk/dataset/cycle-routes	Transport and Infrastructure	Location
Department for Transport	Car parks	http://data.gov.uk/dataset/car-parks	Transport and Infrastructure	Location
Highways Agency	Live Traffic Information from the Highways Agency Road Network	http://data.gov.uk/dataset/live-traffic-information-from-the-highways-agency-road-network	Transport and Infrastructure	Location
Department for Transport	National Public Transport Gazetteer (NPTG)	http://data.gov.uk/dataset/nptg	Transport and Infrastructure	Location
Maritime and Coastguard Agency	Hydrographic Data 	http://data.gov.uk/dataset/hydrographic-data	Transport and Infrastructure	Location
British Geological Survey	UK Earthquake Seismogram Data	http://data.gov.uk/dataset/uk-earthquake-seismogram-data	Science and Research	Location
British Geological Survey	Water Well Archive 	http://data.gov.uk/dataset/water-well-archive	Energy and the Environment	Location
British Geological Survey	GeoIndex Geological Indicators of Flooding 	http://data.gov.uk/dataset/geoindex-geological-indicators-of-flooding	Energy and the Environment	Location
British Geological Survey	World Seismicity Database	http://data.gov.uk/dataset/world-seismicity-database	Energy and the Environment	Location
British Geological Survey	Waste Disposal Site Records) 1973	http://data.gov.uk/dataset/waste-disposal-site-records	Energy and the Environment	Location
Ordnance Survey	Height Content Store (Terrain 2/5/50)	http://data.gov.uk/dataset/height-content-store-terrain-2-5-50	Energy and the Environment	Location
Land Registry	Title Information	http://data.gov.uk/dataset/title-information	Energy and the Environment	Location
Ordnance Survey	OS MasterMap® Topography Layer	http://data.gov.uk/dataset/os-mastermap-topography-layer	Energy and the Environment	Location
Ordnance Survey	Networks: Paths, Water, Rail 	http://data.gov.uk/dataset/networks-paths-water-rail	Energy and the Environment	Location
Ordnance Survey	Functional sites	http://data.gov.uk/dataset/functional-sites	Energy and the Environment	Location
Ordnance Survey	Codepoint with polygons	http://data.gov.uk/dataset/code-point-with-polygons	Energy and the Environment	Location
Land Registry	HM Land Registry INSPIRE Index Polygons	http://www.data.gov.uk/dataset/hm-land-registry-inspire-index-polygons	Energy and the Environment	Location
Land Registry	Index of Proprietors Names 	http://data.gov.uk/dataset/index-of-proprietors-names	Energy and the Environment	Location
Ordnance Survey	Boundary line	http://data.gov.uk/dataset/boundary-line	Energy and the Environment	Location
Land Registry	Land Registry Property Gazetteer	http://data.gov.uk/dataset/land-registry-property-gazetteer	Energy and the Environment	Location
Land Registry	Land Registry Monthly Price Paid Data current	http://data.gov.uk/dataset/land-registry-monthly-price-paid-data	Energy and the Environment	Location
Land Registry	Land Registry Monthly Price Paid Data 1995-2012 	http://data.gov.uk/dataset/archived-price-paid-information--residential-property-1995-2012	Energy and the Environment	Location
Ordnance Survey	OS Mastermap® Address Layer (OS)	http://data.gov.uk/dataset/os-mastermap-address-layer	Energy and the Environment	Location
Land Registry	HM Land Registry INSPIRE Index Polygons	http://data.gov.uk/dataset/hm-land-registry-inspire-index-polygons	Energy and the Environment	Location
Department for Communities and Local Government	Area of designated Green Belt by local planning authority (DCLG) 	http://data.gov.uk/dataset/area-of-designated-greenbelt-by-local-planning-authority	Energy and the Environment	Location
Department for Communities and Local Government	Planning ñ national land use database of previously - developed land 	http://data.gov.uk/dataset/england-planning-national-land-use-database-of-previously-developed-land	Energy and the Environment	Location
